key,title,wave,date_screened,gate1_domain,gate2_individual_decision,gate3_clinician_loop,f1_overall,f2_xai_component,f3_xai_evaluation,f4_extraction_detail,f5_primary_study,decision,exclusion_code,rationale
rayyan-601300087,Sparse Embedding for Interpretable Hospital Admission Prediction,1,2026-07-10,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Exclude,E1,"Gate 1/2 pass (ED/hospital-admission EHR prediction at individual-patient level); Gate 3 fails -- no clinician interacts with or evaluates the system/explanations, purely downstream statistical evaluation. F2 passes: k-sparse autoencoder + t-SNE explicitly framed as post-hoc interpretability/feature-attribution contribution. F3 also fails: predictive performance (AUROC/RMSE) is evaluated but the XAI component itself (t-SNE plots, feature-importance charts) is only qualitative/narrated demonstration -- no proxy metrics (fidelity/stability), no human evaluation. MethodPaper exception does not apply -- no deliberate/systematic evaluation of the interpretability component, treated as incidental decoration. F4/F5 pass (full IEEE proceedings, sufficient methodological detail). Both Gate 3 (E1) and F3 (E3) fail; E1 assigned per the protocol's explicit priority tie-break (lowest-numbered code wins when multiple exclusion reasons apply), overriding the original E3 call."
rayyan-601300096,Early Risk Prediction for Emergency Department Triage using Machine Learning Techniques,1,2026-07-10,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Exclude,E3,"All three gates pass: ED triage domain, individual-patient severity classification, and a genuine clinician-in-loop deployment (triage-assistant UI feeding predicted severity/queue order/explanations directly to clinical staff). F2 passes: dedicated SHAP explainability layer over LightGBM/XGBoost/Random Forest predictions. F3 fails: downstream classification metrics (accuracy/precision/recall/F1) and queue-latency are evaluated, but the SHAP outputs themselves (summary plot, force plot) are only qualitative case-study illustrations -- no fidelity/faithfulness/stability proxy metrics, no clinician trust or comprehension study. MethodPaper exception does not apply -- applied system using an existing XAI framework (SHAP) without evaluating the explanation itself, not a novel XAI method with its own evaluation. No gate conflict this time (all three pass), so E3 applies cleanly with no priority tie-break needed."
rayyan-601300131,A new machine learning technique for predicting traumatic injuries outcomes based on the vital signs,1,2026-07-10,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Exclude,E1,"Gate 1/2 pass (ED/pre-hospital trauma domain, individual-patient 30-day mortality prediction from vital signs). Gate 3 fails: MAKER-RIMER hybrid model developed/evaluated purely offline on the TARN database, no clinical workflow integration or clinician interaction, simulated or real. F2 passes: hybrid Evidential Reasoning + Belief Rule-Based (RIMER) architecture explicitly framed as a transparent/interpretable design contribution. F3 also fails: predictive performance evaluated via 30-fold CV/AUC against LR/ANN/SVM/RF baselines, but the belief-rule tables themselves are only shown as static lookup configurations -- no fidelity/consistency/sparsity proxy metrics, no human evaluation with trauma clinicians. MethodPaper exception does not apply -- no deliberate evaluation of the interpretability mechanism beyond displaying the rule tables. F4/F5 pass. Both Gate 3 (E1) and F3 (E3) fail; E1 correctly assigned per the priority tie-break (lowest-numbered code wins), consistent with the 601300087 correction."
rayyan-601300284,AI-Powered Early Detection of Sepsis in Emergency Medicine.,1,2026-07-10,Pass,Pass,Fail,Fail,Fail,Fail,Pass,Pass,Exclude,E1,"Gate 1/2 pass (EM sepsis detection, individual-patient binary outcome). Gate 3 fails: models trained/evaluated purely offline on a static 140-patient retrospective dataset, no clinical workflow simulation or clinician interaction; prospective trials and EHR integration explicitly deferred to future work. F2 also fails: only white-box models (LR, decision trees, RF) with coefficients/feature importance reported, no dedicated XAI framework or evaluation -- per Borderline Rule 1, inherently-interpretable-model outputs without deliberate evaluation do not meet F2. F3 also fails as a consequence (only standard accuracy/AUC reported, no interpretability evaluation). Three-way conflict: Gate 3 fail -> E1 (priority 1), F2 fail -> E2 (priority 2), F3 fail -> E3 (priority 3). E1 correctly assigned as the lowest-numbered code, per the priority tie-break rule."
rayyan-601300218,Interpretable Machine Learning for Emergency Department Triage: A Systematic Literature Review,1,2026-07-10,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Exclude,E4,"Systematic literature review of 25 secondary studies -- does not itself deploy a clinical AI system, process individual patient data, or involve a clinician in a decision loop, so all three gates trivially fail (F1 overall fail). F2 also fails: catalogs XAI techniques (SHAP, LIME, AutoScore) used across surveyed papers but does not implement its own XAI method. F3 fails: evaluates literature quality/methodology, not an operational XAI component. F5 fails: explicitly a systematic review, excluded per F5's review-article clause regardless of substantive XAI content. F4 passes (full PICOC/search-strategy detail). Multi-way conflict (Gate 1/2/3 fail -> E1 priority 1; F2 fail -> E2 priority 2; F3 fail -> E3 priority 3; F5 fail -> E4 priority 4). This case exposed a protocol gap: literal numeric tie-break would select E1 for every review (since reviews trivially fail all three gates by not deploying anything), making E4 practically unusable. Resolved by adding Rule 7 to screening_fulltext_criteria.md (v1.1, logged in decision_log.md 2026-07-10): publication-type-driven gate failures are coded E4, not E1. E4 assigned under the new rule."
rayyan-601300249,Machine Learning-Augmented Triage for Sepsis: Real-Time ICU Mortality Prediction Using SHAP-Explained Meta-Ensemble Models.,1,2026-07-10,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Exclude,E3,"Deliberate Gate 1 boundary test (ICU-mortality target). Resolves as a genuine PASS, not the ICU-admission-and-after false-positive pattern from T/A adjudication: the model's output is a real-time 'Prioritize ICU transfer' suggestion delivered via an EHR-integrated dashboard at the point of ED care, i.e. an ED disposition decision (transfer/ICU-admit), not a decision made after the patient is already in the ICU. Gate 2/3 pass: individualized point-of-care risk estimate, physician-facing dashboard integrated into clinical workflow. F2 passes: SHAP layer mapping ensemble outputs to local feature-attribution justifications. F3 fails: AUROC/Recall/Brier and a hyperparameter-optimization ablation study are reported, but the SHAP explanations themselves (waterfall plots, heatmaps for two example patients) are only retrospective case-study narration for biological plausibility -- no proxy metrics, no clinician trust/comprehension study. MethodPaper exception does not apply -- stated contribution is the predictive pipeline (including a novel Red Piranha Optimization algorithm), not a new XAI method. F4/F5 pass. No gate conflict (only F3 fails), E3 applies cleanly."
rayyan-601300505,Development and validation of interpretable machine learning models for triage patients admitted to the intensive care unit.,1,2026-07-10,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Exclude,E1,"Second deliberate Gate 1 boundary test (title reads ambiguously as either ED-triage-time ICU-need prediction or an ICU-internal triage decision). Verified against full text (abstract/intro): model predicts 'whether triaged patients need to be admitted to the ICU' using variables 'obtained during triage,' explicitly to assist clinical staff 'during triage' and reduce ED-to-ICU delay -- decision point is genuinely at ED triage, not ICU-internal, so Gate 1/2 pass is confirmed (not the ICU-admission-and-after false-positive pattern). Gate 3 fails: retrospective MIMIC-IV cohort study, no live deployment, workflow simulation, or clinician interaction evaluated. F2 passes: SHAP used to explain model outputs. F3 fails: extensive downstream metrics (AUC/F1/PPV/NPV/Brier/calibration/decision-curve analysis) reported, but SHAP explanations are only a single-patient (Case 16) illustrative example, no proxy metrics, no human evaluation. MethodPaper exception does not apply. F4/F5 pass. Gate 3 fail -> E1, F3 fail -> E3; E1 correctly wins per priority tie-break."
rayyan-601300077,Assessment of Hematological Predictors via Explainable Artificial Intelligence in the Prediction of Acute Myocardial Infarction,1,2026-07-10,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Exclude,E1,"CORRECTED Gate 1 -- original submission marked Gate 1 Pass on domain grounds alone ('targets AMI diagnosis'), but the task (distinguishing AMI vs healthy, and STEMI vs NSTEMI subtypes, from CBC/hematological parameters) is diagnostic differentiation, not intake/acuity-triage/disposition. This is the exact pattern already excluded by the v2.1 boundary clarification from T/A adjudication (diagnostic differentiation, e.g. ECG/imaging classification, fails Gate 1 even in an ED population, since it's none of the three exhaustive categories). Gate 1 therefore FAILS, not passes; Gate 2 would pass on its own terms (individual-patient-level analysis) but is moot once Gate 1 fails. Gate 3 also independently fails: offline retrospective Google Colab analysis, no live clinical interface or clinician-in-loop evaluation despite the authors' claim the model 'serves as a valuable tool for physicians.' F2 passes: SHAP applied to XGB/AB/LGBM outputs. F3 fails: downstream classification metrics reported, but SHAP figures (Figs 3-4) are static narrative illustrations only, no proxy metrics, no clinician validation. F4/F5 pass (IEEE Access full article, TRIPOD-adjacent detail). Final code unchanged at E1 (Gate 1 failure independently falls under E1's definition), but the substantive reason corrected from 'Gate 3 only' to 'Gate 1 (diagnostic differentiation) plus Gate 3.' Good confirming case that v2.1 generalizes to full-text screening; watch for this pattern (diagnosis/classification from labs or imaging, not intake/triage/disposition) recurring in the remaining pool."
rayyan-601300067,Explainable AI and Augmented Reality in Transesophageal Echocardiography (TEE) Imaging,1,2026-07-10,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Exclude,E1,"CORRECTED decision from Include to Exclude -- this is the paper T/A adjudication explicitly flagged and deferred to full-text ('no explicit ED disposition/admit-discharge-transfer action stated; risks the documented imaging-interpretation false-positive pattern'). Full-text search for disposition/admit/discharge/transfer/triage returns zero matches. Abstract and intro confirm the task is purely diagnostic image-interpretation accuracy (assessing LVEF, detecting pericardial effusion via TEE) -- same diagnostic-differentiation category already excluded under v2.1 (ECG/imaging classification example), not intake/acuity-triage/disposition. Gate 1 therefore FAILS. Gate 2/3 pass on their own terms (individual-patient task, genuine 24-clinician human-participant study), and F2/F3 both genuinely pass -- three isolated XAI modalities (SA/SAA/SAD), quantitative decision-accuracy comparison (81.5% vs 67%), validated trust scales (Jian et al., Godspeed). This would have been a strong Include on evaluation-rigor grounds; Gate 1 is a scope boundary, not a quality judgment, and the paper never ties the diagnostic task to an ED disposition action. F4/F5 pass. Confirms the same diagnostic-differentiation pattern as 601300077 changes the outcome here, not just the stated reason."
rayyan-601300282,Interpretable machine learning models for prolonged Emergency Department wait time prediction.,1,2026-07-10,Fail,Pass,Fail,Fail,Pass,Fail,Pass,Pass,Exclude,E1,"Deliberate F2/operational-boundary test, correctly resolved on first pass, clean validation of the already-established v2.2 clarification: prediction is computed at individual-patient level (binary prolonged/non-prolonged wait categorization) but consumed for ED operations/throughput management, not returned to a treating clinician for a disposition decision, so Gate 1 fails regardless of prediction-target granularity. Gate 2 passes on its own terms (individual-level prediction) but is moot once Gate 1 fails. Gate 3 also independently fails: single-center retrospective study on 2019-2021 registry data, no live deployment or clinician-in-loop interaction. F2 passes: SHAP + Partial Dependence Plots applied to an optimized XGBoost model. F3 fails: extensive classifier-comparison metrics (accuracy/recall/precision/F1/AUROC) reported, but SHAP/PDP outputs are only static post-hoc illustrations, no proxy metrics, no clinician evaluation. F4/F5 pass. Gate1+Gate3 fail -> E1, F3 fail -> E3; E1 correctly wins per priority tie-break."
