key,title,year,doi,pubmed_id,venue,reason_not_auto,access_route,status,pdf_path,notes
rayyan-601300067,Explainable AI and Augmented Reality in Transesophageal Echocardiography (TEE) Imaging,2024,10.1109/AIxVR59861.2024.00051,,IEEE (AIxVR 2024),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300067.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300087,Sparse Embedding for Interpretable Hospital Admission Prediction,2019,10.1109/EMBC.2019.8856800,,IEEE (EMBC 2019),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300087.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300096,Early Risk Prediction for Emergency Department Triage using Machine Learning Techniques,2026,10.1109/ICAUC68182.2026.11440947,,IEEE (ICAUC 2026),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300096.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300131,A new machine learning technique for predicting traumatic injuries outcomes based on the vital signs,2019,10.23919/IConAC.2019.8895012,,IConAC 2019 (IEEE-published conference),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300131.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300312,Deep learning-based natural language processing for detecting medical symptoms and histories in emergency patient triage.,2024,10.1016/j.ajem.2023.11.063,38096637,American Journal of Emergency Medicine (Elsevier),On PubMed but no PMCID -- not in PMC,ScienceDirect via institutional access,pending,,
rayyan-601300331,Human-centred AI for emergency cardiac care: Evaluating RAPIDx AI with PROLIFERATE_AI.,2025,10.1016/j.ijmedinf.2025.105810,39893766,International Journal of Medical Informatics (Elsevier),On PubMed but no PMCID -- not in PMC,ScienceDirect via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300331.pdf,Manually downloaded from ScienceDirect; title/DOI verified against PDF
rayyan-601300507,Development of BERT-based large language models for emergency department triage using real-world conversations.,2026,10.1093/jamia/ocag007,41649331,JAMIA (Oxford University Press),In PMC (PMC13089569) but NOT in the OA-licensed subset -- bulk API has no redistribution right,"Try PMC web page directly in browser first (pmc.ncbi.nlm.nih.gov/articles/PMC13089569/ -- bot-blocked for automated fetch, but should load normally for you); fallback OUP/JAMIA via institutional access",pending,,
rayyan-601300537,Validation of a machine learning model for predicting early deterioration in the emergency department.,2026,10.1016/j.ajem.2026.05.007,42184774,American Journal of Emergency Medicine (Elsevier),On PubMed but no PMCID -- not in PMC,ScienceDirect via institutional access,pending,,
rayyan-601300595,Emergency department narratives for early risk stratification of serious disposition in older adults after falls: A survival modelling study with external validation.,2026,10.1016/j.ijmedinf.2026.106481,42214283,International Journal of Medical Informatics (Elsevier),On PubMed but no PMCID -- not in PMC,ScienceDirect via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300595.pdf,Manually downloaded from ScienceDirect; title/DOI verified against PDF
rayyan-601300657,Integrating the interpretable machine learning Score For Emergency Risk Prediction (SERP) with emergency department triage to better predict 30-Day mortality.,2026,10.15441/ceem.25.253,41928701,Clinical and Experimental Emergency Medicine (CEEM),On PubMed but no PMCID -- not in PMC,"CEEM is a fully open-access journal -- try the publisher site directly first (ceemjournal.org, DOI resolves there); likely no institutional login needed",retrieved,data/extraction/fulltext_pdfs/rayyan-601300657.pdf,"Manually downloaded from CEEM; DOI verified against PDF -- NOTE: this is a ""Journal Pre-proofs"" (accepted, pre-typesetting) version, not the final formatted version"
